County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Barrow County, Georgia",4032.0,119,,,155.0,134,2179.0,424,25.0,26,276.0,157,0.0,34,0.0,34,0.0,34,0.0,34,,,0.0,34,95.0,86,261.0,122,34.0,55,155.0,122,0.0,34,0.0,34,0.0,34,11.0,15,260.0,180,0.0,34
"Barry County, Michigan",599.0,61,,,40.0,40,0.0,26,195.0,94,152.0,113,0.0,26,0.0,26,0.0,26,0.0,26,,,18.0,30,0.0,26,18.0,19,31.0,50,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,125.0,96,0.0,26
"Barry County, Missouri",887.0,220,,,27.0,37,294.0,165,0.0,25,164.0,130,0.0,25,0.0,25,0.0,25,0.0,25,,,223.0,89,0.0,25,4.0,7,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,40.0,73,45.0,53,0.0,25
"Bartholomew County, Indiana",6880.0,193,,,671.0,264,0.0,30,341.0,230,395.0,248,0.0,30,0.0,30,0.0,30,41.0,65,,,67.0,99,0.0,30,234.0,142,81.0,105,0.0,30,13.0,19,0.0,30,47.0,71,0.0,30,211.0,174,0.0,30
"Barton County, Kansas",121.0,21,,,19.0,25,0.0,21,6.0,11,52.0,53,20.0,35,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,3.0,7,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Barton County, Missouri",23.0,28,,,0.0,19,0.0,19,18.0,27,2.0,3,0.0,19,3.0,6,0.0,19,0.0,19,,,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
"Bartow County, Georgia",1779.0,194,,,49.0,43,0.0,34,109.0,86,81.0,71,0.0,34,0.0,34,28.0,47,0.0,34,,,0.0,34,91.0,114,711.0,309,0.0,34,7.0,14,33.0,56,0.0,34,0.0,34,0.0,34,254.0,226,0.0,34
"Bastrop County, Texas",1521.0,327,,,220.0,209,0.0,35,290.0,272,20.0,25,0.0,35,0.0,35,0.0,35,0.0,35,,,0.0,35,0.0,35,320.0,218,0.0,35,14.0,24,0.0,35,0.0,35,0.0,35,5.0,11,419.0,290,0.0,35
"Bates County, Missouri",93.0,3,,,5.0,11,0.0,19,4.0,7,11.0,15,0.0,19,0.0,19,14.0,23,0.0,19,,,0.0,19,0.0,19,54.0,30,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
"Bath County, Kentucky",18.0,28,,,0.0,20,0.0,20,0.0,20,18.0,28,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Bath County, Virginia",60.0,70,,,11.0,22,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,,,0.0,13,0.0,13,29.0,39,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13
"Baxter County, Arkansas",329.0,7,,,9.0,12,0.0,27,4.0,6,50.0,49,0.0,27,0.0,27,35.0,46,0.0,27,,,0.0,27,0.0,27,152.0,89,0.0,27,35.0,63,0.0,27,0.0,27,0.0,27,1.0,2,6.0,14,0.0,27
"Bay County, Florida",6439.0,214,,,378.0,161,0.0,35,295.0,168,742.0,262,8.0,13,0.0,35,56.0,47,0.0,35,,,0.0,35,0.0,35,1781.0,394,18.0,30,21.0,36,0.0,35,0.0,35,0.0,35,559.0,243,1554.0,532,0.0,35
